Year,State,Deaths
2015,ALABAMA,20
2015,ALASKA,3
2015,ARIZONA,26
2015,ARKANSAS,14
2015,CALIFORNIA,79
2015,COLORADO,19
2015,CONNECTICUT,4
2015,DELAWARE,3
2015,FLORIDA,96
2015,GEORGIA,31
2015,HAWAII,1
2015,IDAHO,4
2015,ILLINOIS,29
2015,INDIANA,23
2015,IOWA,6
2015,KANSAS,5
2015,KENTUCKY,13
2015,LOUISIANA,37
2015,MARYLAND,25
2015,MASSACHUSETTS,10
2015,MICHIGAN,34
2015,MINNESOTA,2
2015,MISSISSIPPI,9
2015,MISSOURI,19
2015,MONTANA,8
2015,NEBRASKA,3
2015,NEVADA,13
2015,NEW HAMPSHIRE,4
2015,NEW JERSEY,13
2015,NEW MEXICO,7
2015,NEW YORK,29
2015,NORTH CAROLINA,24
2015,OHIO,27
2015,OKLAHOMA,18
2015,OREGON,8
2015,PENNSYLVANIA,43
2015,RHODE ISLAND,2
2015,SOUTH CAROLINA,24
2015,SOUTH DAKOTA,2
2015,TENNESSEE,32
2015,TEXAS,119
2015,UTAH,5
2015,VERMONT,1
2015,VIRGINIA,20
2015,WASHINGTON,15
2015,WEST VIRGINIA,6
2015,WISCONSIN,15
2015,WYOMING,2
2016,ALABAMA,118
2016,ALASKA,10
2016,ARIZONA,126
2016,ARKANSAS,71
2016,CALIFORNIA,334
2016,COLORADO,57
2016,CONNECTICUT,17
2016,DELAWARE,14
2016,FLORIDA,356
2016,GEORGIA,133
2016,HAWAII,9
2016,IDAHO,16
2016,ILLINOIS,90
2016,INDIANA,70
2016,IOWA,29
2016,KANSAS,35
2016,KENTUCKY,42
2016,LOUISIANA,128
2016,MAINE,5
2016,MARYLAND,49
2016,MASSACHUSETTS,34
2016,MICHIGAN,106
2016,MINNESOTA,18
2016,MISSISSIPPI,65
2016,MISSOURI,99
2016,MONTANA,16
2016,NEBRASKA,9
2016,NEVADA,42
2016,NEW HAMPSHIRE,9
2016,NEW JERSEY,49
2016,NEW MEXICO,16
2016,NEW YORK,147
2016,NORTH CAROLINA,127
2016,NORTH DAKOTA,4
2016,OHIO,133
2016,OKLAHOMA,93
2016,OREGON,47
2016,PENNSYLVANIA,171
2016,RHODE ISLAND,2
2016,SOUTH CAROLINA,79
2016,SOUTH DAKOTA,5
2016,TENNESSEE,102
2016,TEXAS,403
2016,UTAH,21
2016,VERMONT,7
2016,VIRGINIA,90
2016,WASHINGTON,28
2016,WEST VIRGINIA,26
2016,WISCONSIN,66
2016,WYOMING,11
2017,ALABAMA,116
2017,ALASKA,9
2017,ARIZONA,133
2017,ARKANSAS,81
2017,CALIFORNIA,384
2017,COLORADO,41
2017,CONNECTICUT,14
2017,DELAWARE,10
2017,FLORIDA,428
2017,GEORGIA,173
2017,HAWAII,4
2017,IDAHO,15
2017,ILLINOIS,104
2017,INDIANA,68
2017,IOWA,16
2017,KANSAS,26
2017,KENTUCKY,70
2017,LOUISIANA,127
2017,MAINE,4
2017,MARYLAND,57
2017,MASSACHUSETTS,37
2017,MICHIGAN,106
2017,MINNESOTA,6
2017,MISSISSIPPI,76
2017,MISSOURI,94
2017,MONTANA,13
2017,NEBRASKA,16
2017,NEVADA,47
2017,NEW HAMPSHIRE,5
2017,NEW JERSEY,39
2017,NEW MEXICO,18
2017,NEW YORK,143
2017,NORTH CAROLINA,104
2017,NORTH DAKOTA,2
2017,OHIO,149
2017,OKLAHOMA,86
2017,OREGON,25
2017,PENNSYLVANIA,181
2017,RHODE ISLAND,8
2017,SOUTH CAROLINA,105
2017,SOUTH DAKOTA,12
2017,TENNESSEE,96
2017,TEXAS,469
2017,UTAH,20
2017,VERMONT,4
2017,VIRGINIA,93
2017,WASHINGTON,40
2017,WEST VIRGINIA,29
2017,WISCONSIN,43
2017,WYOMING,8
2018,ALABAMA,125
2018,ALASKA,11
2018,ARIZONA,131
2018,ARKANSAS,76
2018,CALIFORNIA,449
2018,COLORADO,55
2018,CONNECTICUT,28
2018,DELAWARE,16
2018,FLORIDA,440
2018,GEORGIA,163
2018,HAWAII,6
2018,IDAHO,22
2018,ILLINOIS,83
2018,INDIANA,67
2018,IOWA,19
2018,KANSAS,33
2018,KENTUCKY,50
2018,LOUISIANA,116
2018,MAINE,8
2018,MARYLAND,57
2018,MASSACHUSETTS,42
2018,MICHIGAN,135
2018,MINNESOTA,6
2018,MISSISSIPPI,76
2018,MISSOURI,106
2018,MONTANA,5
2018,NEBRASKA,10
2018,NEVADA,29
2018,NEW HAMPSHIRE,8
2018,NEW JERSEY,33
2018,NEW MEXICO,22
2018,NEW YORK,138
2018,NORTH CAROLINA,118
2018,OHIO,151
2018,OKLAHOMA,113
2018,OREGON,34
2018,PENNSYLVANIA,166
2018,RHODE ISLAND,5
2018,SOUTH CAROLINA,100
2018,SOUTH DAKOTA,6
2018,TENNESSEE,121
2018,TEXAS,505
2018,UTAH,17
2018,VERMONT,2
2018,VIRGINIA,106
2018,WASHINGTON,36
2018,WEST VIRGINIA,34
2018,WISCONSIN,52
2018,WYOMING,6
2019,ALABAMA,129
2019,ALASKA,3
2019,ARIZONA,114
2019,ARKANSAS,76
2019,CALIFORNIA,398
2019,COLORADO,49
2019,CONNECTICUT,19
2019,DELAWARE,13
2019,FLORIDA,400
2019,GEORGIA,157
2019,HAWAII,9
2019,IDAHO,25
2019,ILLINOIS,94
2019,INDIANA,93
2019,IOWA,16
2019,KANSAS,35
2019,KENTUCKY,63
2019,LOUISIANA,102
2019,MAINE,8
2019,MARYLAND,61
2019,MASSACHUSETTS,34
2019,MICHIGAN,116
2019,MINNESOTA,10
2019,MISSISSIPPI,73
2019,MISSOURI,84
2019,MONTANA,8
2019,NEBRASKA,17
2019,NEVADA,34
2019,NEW HAMPSHIRE,8
2019,NEW JERSEY,43
2019,NEW MEXICO,18
2019,NEW YORK,112
2019,NORTH CAROLINA,119
2019,NORTH DAKOTA,1
2019,OHIO,136
2019,OKLAHOMA,100
2019,OREGON,39
2019,PENNSYLVANIA,157
2019,RHODE ISLAND,3
2019,SOUTH CAROLINA,70
2019,SOUTH DAKOTA,12
2019,TENNESSEE,103
2019,TEXAS,448
2019,UTAH,21
2019,VERMONT,5
2019,VIRGINIA,90
2019,WASHINGTON,37
2019,WEST VIRGINIA,28
2019,WISCONSIN,49
2019,WYOMING,9
2020,ALABAMA,93
2020,ALASKA,14
2020,ARIZONA,36
2020,ARKANSAS,117
2020,CALIFORNIA,840
2020,COLORADO,45
2020,CONNECTICUT,29
2020,DELAWARE,17
2020,DISTRICT OF COLUMBIA,20
2020,FLORIDA,541
2020,GEORGIA,448
2020,HAWAII,17
2020,IDAHO,44
2020,ILLINOIS,101
2020,INDIANA,164
2020,IOWA,24
2020,KANSAS,20
2020,KENTUCKY,96
2020,LOUISIANA,45
2020,MAINE,18
2020,MARYLAND,50
2020,MASSACHUSETTS,57
2020,MICHIGAN,148
2020,MINNESOTA,33
2020,MISSISSIPPI,84
2020,MISSOURI,123
2020,MONTANA,28
2020,NEBRASKA,36
2020,NEVADA,51
2020,NEW HAMPSHIRE,8
2020,NEW JERSEY,87
2020,NEW MEXICO,34
2020,NEW YORK,70
2020,NORTH CAROLINA,196
2020,NORTH DAKOTA,3
2020,OHIO,321
2020,OKLAHOMA,185
2020,OREGON,68
2020,PENNSYLVANIA,218
2020,RHODE ISLAND,3
2020,SOUTH CAROLINA,166
2020,SOUTH DAKOTA,8
2020,TENNESSEE,153
2020,TEXAS,679
2020,UTAH,35
2020,VERMONT,3
2020,VIRGINIA,34
2020,WASHINGTON,11
2020,WEST VIRGINIA,17
2020,WISCONSIN,26
2020,WYOMING,4
2021,ALABAMA,172
2021,ALASKA,23
2021,ARIZONA,37
2021,ARKANSAS,89
2021,CALIFORNIA,736
2021,COLORADO,82
2021,CONNECTICUT,32
2021,DELAWARE,20
2021,DISTRICT OF COLUMBIA,7
2021,FLORIDA,550
2021,GEORGIA,445
2021,HAWAII,30
2021,IDAHO,48
2021,ILLINOIS,234
2021,INDIANA,185
2021,IOWA,68
2021,KANSAS,55
2021,KENTUCKY,127
2021,LOUISIANA,161
2021,MAINE,18
2021,MARYLAND,86
2021,MASSACHUSETTS,76
2021,MICHIGAN,231
2021,MINNESOTA,50
2021,MISSISSIPPI,73
2021,MISSOURI,136
2021,MONTANA,42
2021,NEBRASKA,63
2021,NEVADA,116
2021,NEW HAMPSHIRE,15
2021,NEW JERSEY,43
2021,NEW MEXICO,58
2021,NEW YORK,166
2021,NORTH CAROLINA,201
2021,NORTH DAKOTA,2
2021,OHIO,244
2021,OKLAHOMA,226
2021,OREGON,78
2021,PENNSYLVANIA,328
2021,RHODE ISLAND,7
2021,SOUTH CAROLINA,173
2021,SOUTH DAKOTA,14
2021,TENNESSEE,203
2021,TEXAS,867
2021,UTAH,59
2021,VERMONT,2
2021,VIRGINIA,76
2021,WASHINGTON,2
2021,WEST VIRGINIA,67
2021,WISCONSIN,59
2021,WYOMING,14
2022,ALABAMA,205
2022,ALASKA,18
2022,ARIZONA,37
2022,ARKANSAS,75
2022,CALIFORNIA,393
2022,COLORADO,95
2022,CONNECTICUT,41
2022,DELAWARE,17
2022,DISTRICT OF COLUMBIA,16
2022,FLORIDA,579
2022,GEORGIA,435
2022,HAWAII,17
2022,IDAHO,31
2022,ILLINOIS,131
2022,INDIANA,175
2022,IOWA,54
2022,KANSAS,31
2022,KENTUCKY,121
2022,LOUISIANA,73
2022,MAINE,29
2022,MARYLAND,74
